,player,cluster,x,y,centrality
29,Rudy Gobert,1,-0.09712388938682641,-0.029977969919186005,0.08713692946058091
37,Nikola Vucevic,1,-0.09891799337731584,-0.032105670690124474,0.08713692946058091
43,Nikola Jokic,1,-0.09894944347907147,-0.032115616385293116,0.08298755186721991
32,LaMarcus Aldridge,1,-0.09681526750411316,-0.029675480789682785,0.08298755186721991
38,Andre Drummond,1,-0.09816964161274232,-0.03134857523315553,0.07468879668049792
40,Steven Adams,1,-0.09840390413366285,-0.031519319580845966,0.07053941908713693
49,Deandre Ayton,1,-0.09950701659084568,-0.032769523521123375,0.06639004149377593
42,Clint Capela,1,-0.09556984029034693,-0.028437629116678076,0.06639004149377593
76,Joel Embiid,1,-0.09972938653219035,-0.03382457503110156,0.06224066390041494
0,Domantas Sabonis,1,-0.09315370347503395,-0.025796756176451087,0.06224066390041494
4,DeMar DeRozan,0,0.0333513955398192,0.0425521232591339,0.058091286307053944
27,Hassan Whiteside,1,-0.09842614581756237,-0.0314541739540859,0.058091286307053944
45,Richaun Holmes,1,-0.0993128918461707,-0.0324665534052653,0.05394190871369295
77,Tristan Thompson,1,-0.09511172736730239,-0.02783857878381874,0.05394190871369295
8,Aaron Gordon,0,0.020397569192094914,0.055558660824889826,0.049792531120331954
46,Jarrett Allen,1,-0.09842538722719205,-0.03147737722628443,0.04564315352697095
3,LeBron James,0,0.029247281390534164,0.051454445304439905,0.04564315352697095
26,T.J. Warren,0,0.025510132722761477,0.0546310348133386,0.04564315352697095
30,Wendell Carter Jr.,1,-0.09872507598773443,-0.03179321428356173,0.04564315352697095
36,Jonas Valanciunas,1,-0.09866087434997989,-0.031741995700133294,0.04564315352697095
47,Bam Adebayo,1,-0.09597496180943414,-0.028663509329633192,0.04149377593360996
48,Thomas Bryant,1,-0.09842019323742365,-0.03155981026060986,0.04149377593360996
44,Karl-Anthony Towns,1,-0.09870495374169502,-0.03177224193624231,0.04149377593360996
117,Damian Lillard,4,0.06229408730425481,-0.056204895663522825,0.04149377593360996
108,Trae Young,4,0.06118341832338644,-0.058590732966353185,0.04149377593360996
35,Derrick Favors,1,-0.09924312730683699,-0.03238912580623911,0.04149377593360996
83,Julius Randle,0,-0.005105448740315491,0.063711590277242,0.04149377593360996
148,Elfrid Payton,4,0.0678473302563957,-0.08963892944484984,0.03734439834024896
99,Jonathan Isaac,0,-0.009332494541240246,0.07236673077954328,0.03734439834024896
10,Terrance Ferguson,0,0.04488369755408775,0.01051172713848496,0.03734439834024896
